TCGA-BH-A0HX-01A-21R-A056-07	TCGA-AO-A0J7-01A-11R-A034-07	TCGA-A2-A25F-01A-11R-A169-07	TCGA-AR-A0U3-01A-11R-A109-07	TCGA-A2-A259-01A-11R-A16F-07	TCGA-AN-A0AJ-01A-11R-A00Z-07	TCGA-E9-A6HE-01A-11R-A31O-07	TCGA-EW-A1P3-01A-11R-A144-07	TCGA-E2-A1LI-01A-12R-A157-07	TCGA-HN-A2OB-01A-21R-A27Q-07	TCGA-BH-A0DL-01A-11R-A115-07	TCGA-E9-A227-01A-11R-A157-07	TCGA-E2-A1IL-01A-11R-A14D-07	TCGA-C8-A1HK-01A-21R-A13Q-07	TCGA-AC-A7VC-01A-11R-A352-07	TCGA-OL-A66H-01A-11R-A29R-07	TCGA-A8-A0A2-01A-11R-A034-07	TCGA-E2-A15R-01A-11R-A115-07	TCGA-A2-A3XX-01A-21R-A239-07	TCGA-D8-A13Y-01A-11R-A115-07	TCGA-AN-A0XV-01A-11R-A109-07	TCGA-AO-A128-01A-11R-A10J-07	TCGA-A8-A09M-01A-11R-A00Z-07	TCGA-AO-A03T-01A-21R-A034-07	TCGA-BH-A0DZ-01A-11R-A00Z-07	TCGA-E2-A56Z-01A-12R-A29R-07	TCGA-BH-A0HO-01A-11R-A034-07	TCGA-A2-A25B-01A-11R-A169-07	TCGA-A2-A1FW-01A-11R-A13Q-07	TCGA-AO-A1KP-01A-11R-A13Q-07	TCGA-BH-A0B3-01A-11R-A056-07	TCGA-BH-A1F6-01A-11R-A13Q-07	TCGA-EW-A1P6-01A-11R-A144-07	TCGA-A8-A08B-01A-11R-A00Z-07	TCGA-B6-A409-01A-11R-A24H-07	TCGA-BH-A0BS-01A-11R-A12P-07	TCGA-A7-A2KD-01A-31R-A21T-07	TCGA-C8-A278-01A-11R-A169-07	TCGA-AQ-A54N-01A-11R-A266-07	TCGA-AC-A2FO-01A-11R-A180-07	TCGA-A2-A4S3-01A-21R-A266-07	TCGA-AO-A1KQ-01A-11R-A13Q-07	TCGA-AO-A12B-01A-11R-A10J-07	TCGA-A8-A07O-01A-11R-A00Z-07	TCGA-E2-A1LH-01A-11R-A14D-07	TCGA-A8-A09T-01A-11R-A00Z-07	TCGA-A8-A0A7-01A-11R-A00Z-07	TCGA-A8-A07I-01A-11R-A00Z-07	TCGA-EW-A3E8-01B-11R-A24H-07	TCGA-AC-A3W7-01A-11R-A22K-07	TCGA-D8-A143-01A-11R-A115-07	TCGA-BH-A18F-01A-11R-A12D-07	TCGA-BH-A0W4-01A-11R-A109-07	TCGA-D8-A1XS-01A-11R-A14M-07	TCGA-BH-A0BA-01A-11R-A056-07	TCGA-A2-A3XS-01A-11R-A22U-07	TCGA-A8-A07S-01A-11R-A034-07	TCGA-LL-A73Z-01A-11R-A32P-07	TCGA-BH-A0HB-01A-11R-A056-07	TCGA-D8-A1XG-01A-11R-A14D-07	TCGA-AN-A0XN-01A-21R-A109-07	TCGA-D8-A1JD-01A-11R-A13Q-07	TCGA-A8-A08L-01A-11R-A00Z-07	TCGA-GM-A2DN-01A-11R-A180-07	TCGA-BH-A18V-01A-11R-A12D-07	TCGA-D8-A146-01A-31R-A115-07	TCGA-A7-A3RF-01A-11R-A22K-07	TCGA-A8-A06N-01A-11R-A00Z-07	TCGA-D8-A141-01A-11R-A115-07	TCGA-AN-A041-01A-11R-A034-07	TCGA-A7-A26J-01A-11R-A277-07	TCGA-E2-A106-01A-11R-A10J-07	TCGA-C8-A135-01A-11R-A115-07	TCGA-BH-A0GY-01A-11R-A056-07	TCGA-D8-A4Z1-01A-21R-A266-07	TCGA-E9-A1NA-01A-11R-A144-07	TCGA-A2-A0CP-01A-11R-A034-07	TCGA-BH-A0BZ-01A-31R-A12P-07	TCGA-Z7-A8R5-01A-42R-A41B-07	TCGA-AC-A3TN-01A-11R-A22K-07	TCGA-AO-A0JF-01A-11R-A056-07	TCGA-AC-A2QH-01B-04R-A22O-07	TCGA-C8-A12V-01A-11R-A115-07	TCGA-AR-A24S-01A-11R-A169-07	TCGA-A8-A08Z-01A-21R-A00Z-07	TCGA-B6-A1KI-01A-11R-A14M-07	TCGA-LL-A9Q3-01A-11R-A41B-07	TCGA-A8-A08F-01A-11R-A00Z-07	TCGA-D8-A1Y1-01A-21R-A14M-07	TCGA-GM-A2DL-01A-11R-A18M-07	TCGA-AO-A03U-01B-21R-A10J-07	TCGA-BH-A0BW-01A-11R-A115-07	TCGA-D8-A73U-01A-11R-A33J-07	TCGA-AN-A0XR-01A-11R-A109-07	TCGA-AN-A0FY-01A-11R-A034-07	TCGA-AN-A0AK-01A-21R-A00Z-07	TCGA-BH-A1FC-01A-11R-A13Q-07	TCGA-A8-A08R-01A-11R-A034-07	TCGA-D8-A3Z6-01A-11R-A239-07	TCGA-A1-A0SP-01A-11R-A084-07 
ENSG00000135269.17	368679	67481	882399	291368	517898	362113	264868	270470	1078921	391537	494641	523235	159224	854281	149541	293489	338295	205342	555588	247449	453987	725570	265358	176130	215064	195680	130672	553125	256736	86696	704770	596664	230063	250378	1046987	343955	722270	1252129	199891	392635	269215	334036	99344	471706	462960	171786	453116	251934	331593	475742	412523	445417	724616	538762	373792	597005	286380	414680	244121	465550	385105	783300	711630	581086	1189347	388392	144349	174641	641052	386692	347074	182109	433257	268394	336738	490880	283429	429708	266953	152220	373803	156472	665654	348485	600851	485489	190805	267546	470020	123560	792998	797414	378829	322885	363809	633300	562113	909423	348755	953419
ENSG00000104067.16	330610	240918	770473	406036	1020092	479574	222720	351420	585958	439801	1011530	640783	712004	720760	215201	296871	842132	633692	437740	402311	882901	336849	267294	309787	223597	307169	632435	287124	781920	936007	414948	333251	399387	202208	445398	808187	830179	579201	109952	386502	218487	188516	224333	568996	207170	281719	279556	797458	380939	709095	437214	505073	801401	830559	606829	401607	594789	362517	327531	585753	537773	853191	477539	499786	1492876	675771	190295	792861	691445	1080105	408535	609667	356447	467941	384495	416335	286517	420292	195045	251603	730265	668515	242419	738832	795974	865371	140230	397772	483413	472319	806548	655531	309645	439196	463356	348352	649155	794919	465710	614307
ENSG00000173272.15	124684	630728	116298	107924	192631	319706	1813878	425087	188449	304561	172097	419722	118263	28365	215792	384948	424687	665140	378351	198243	175954	92790	413778	356998	179165	668239	616681	182200	98770	82172	151638	89229	122160	68940	597367	166070	287985	118704	242685	200199	186433	476635	525238	265893	180845	112011	128805	79964	744523	277820	207320	320922	296297	141639	170833	194991	141770	178938	363590	287191	78948	348945	765233	321855	144586	244064	700994	270346	183153	204623	132409	599092	132457	106220	159718	436910	188512	209623	387983	916436	181136	40234	108248	150428	144226	183072	857591	128249	186588	270489	131150	72196	81182	281153	239407	273592	107942	123682	706649	209163
ENSG00000144724.19	326581	134368	504880	185109	466158	404565	134458	148179	486450	327778	103461	461867	213590	113403	174718	148114	1557362	389829	82824	146190	429017	262018	107477	77905	165253	109247	306877	366584	262147	212946	168823	158896	342425	25531	99305	274708	468418	396302	15407	231760	75837	195929	198696	181838	70944	631174	183639	232304	214762	210518	144518	315621	779758	719856	381574	154088	235410	175593	149433	162588	467050	433203	158506	245717	181198	363783	108121	112175	559136	512336	522850	167557	295084	320405	163705	195500	170216	291248	81950	87228	551364	1440292	118355	370643	518558	780880	68027	255562	344635	251002	502502	189879	178746	118291	937907	54217	151067	343340	251352	121921
ENSG00000072071.16	320116	392587	158790	187101	461249	294584	527320	310193	103175	336818	69727	432828	394618	22271	339098	298892	770146	1268652	147402	764287	160949	774740	584796	455538	67701	399100	538637	61653	390597	375224	199931	242084	144157	55311	433076	315226	680157	125349	370250	180784	418260	186566	537547	409967	126379	129287	267251	222801	525432	599199	248629	354940	647549	406262	369625	638087	500927	172993	354659	624553	255601	591767	448670	259999	831311	395240	1129122	927758	362585	193643	131536	540791	53381	167665	237808	715763	225114	317261	170142	547269	325693	303426	164202	474435	393517	456558	351837	872363	401779	102850	349437	86134	145829	501448	768996	578315	582296	1147721	310509	195321
ENSG00000228474.5	561995	710285	801443	393446	624610	662972	1234387	687089	763089	446307	786358	1197924	390835	1006773	611886	508810	800407	694736	651722	330635	559224	655780	798712	960297	411199	403919	838727	778057	525381	1121626	727137	489452	366345	245677	1476101	989695	527585	962193	847278	583736	354596	645459	512043	517199	451327	296519	668404	405259	1041039	793652	871664	559362	625320	474354	516194	1224462	641725	652662	861351	218268	397433	737070	1126111	631601	760816	579420	790315	838316	542971	658855	343619	850992	876545	443681	266182	1377911	516978	791885	718226	921992	482161	336857	624965	727588	541503	708170	1101018	486544	821352	798277	712633	476512	458684	538903	528173	727759	719633	893568	843506	520420
ENSG00000180198.15	343770	400238	580091	137907	606844	502106	308027	215941	1011300	188986	841941	359575	181401	200106	356733	273611	363319	201138	882711	246429	422529	419274	443865	325452	111815	169354	415743	441033	202997	215174	446819	472905	341664	256823	678503	166857	529122	542643	466412	176871	303317	260751	177591	1656610	250104	225786	383144	400994	284790	345237	558482	296755	340045	425177	301843	624034	295638	449084	464789	89943	123055	707861	450283	251817	809690	176121	347688	388009	283831	241142	199151	110366	276870	330949	162641	860476	238414	887177	166471	197699	185746	233741	258556	346277	445802	292793	235997	329683	532453	392085	275011	395290	87033	430896	1091592	485466	664557	910019	298851	773873
ENSG00000141564.13	589283	267189	303551	163691	196244	279874	190524	154528	188701	230118	209917	187350	215076	169988	141616	175432	347465	741990	281351	127367	162654	228991	521016	304225	59953	195372	266478	183650	445607	132416	263513	129754	180984	44051	175378	206851	696209	161799	59254	239421	289607	276580	193396	409375	91385	90933	240607	222988	306342	217941	276492	155473	294984	468941	282564	269788	227560	114429	240204	230625	151120	483068	389257	229135	166624	222830	351173	2355164	242489	421406	130781	361055	426320	187650	191543	222237	151518	633750	100942	211444	185245	489787	340425	367919	249351	286985	222883	577248	191593	169990	232153	338787	154891	183457	431758	228162	271301	308641	231941	293820
ENSG00000244187.7	379424	423815	115370	141714	319248	510628	935095	323790	288032	203507	326306	476986	274353	148054	148650	394515	364166	584741	261209	311477	186188	209063	365783	348171	111520	754414	503430	267020	305469	416099	189042	240317	410845	304342	1605230	746084	322551	340078	136068	306483	195581	352211	375107	364582	101002	183239	274067	154409	991481	471898	197104	966197	266018	257067	383841	273641	502705	280298	336825	169266	71438	549508	362837	285407	259864	353059	571479	735847	308089	326958	273755	378009	362128	236941	196630	443697	421928	903082	333511	797242	286721	31663	113332	174119	220672	543114	987862	197592	579840	384073	174961	150533	104747	606966	328199	621103	395649	206415	949456	309561
ENSG00000227500.9	454114	567201	343993	583174	600031	418220	560942	602132	431547	567842	217126	895339	772107	268847	205349	565275	653834	1106675	581376	303662	637779	603319	719841	867979	217128	429318	710339	464231	680418	835013	413155	529013	574010	195093	962568	803858	452091	637412	198387	525604	317501	790188	1160114	410826	283726	252461	400230	432425	804300	1097087	413465	480557	782643	569836	627272	744778	759550	362193	734811	446484	318170	846869	923661	544764	337276	587554	946377	783717	564180	544673	75142	716186	617521	677686	539938	535479	487322	719411	407907	1072021	503366	114785	441945	304607	524766	1152646	1151252	489782	644522	427858	661254	270904	432494	904823	562394	597959	328235	437911	1239233	326390
ENSG00000123213.22	265049	327692	421602	316645	431315	376315	149868	104525	762189	124856	326751	174461	184646	582636	90716	171778	81282	447049	464033	159503	351353	286999	186716	220897	119124	119596	323044	745834	1999915	175997	224864	283255	324143	257345	483264	472136	392768	440534	114609	152917	78115	292931	178437	1024587	134706	147303	158449	347352	157304	163916	217484	234071	301974	376733	186343	203090	253409	142651	275954	309122	224879	666682	269576	204130	705612	258074	141747	315620	304629	191746	260284	269603	244277	373038	94957	427449	130145	188472	94405	66159	166652	212047	294429	452622	371275	221727	107678	167476	478659	280921	178317	307673	98254	101176	326069	357946	966804	277066	170827	540663
ENSG00000120725.12	563265	574810	311084	255072	278543	484137	790531	306117	228315	267194	374704	733522	321470	141504	373888	523640	366196	415890	337731	168352	394256	386758	528068	387343	243449	434684	1311397	216634	94177	105685	122421	164335	241285	228222	547657	931549	306869	232497	109231	289172	162405	287789	555256	172121	207996	148667	389058	131823	617812	318083	194312	334204	328231	331664	390879	209791	632555	256674	319063	207701	145272	515650	234860	382668	156964	503582	905913	396908	359067	225134	556348	488416	239744	298569	216929	1042033	270642	797295	325345	578528	445498	76011	228209	355122	263712	872809	1487401	198522	522231	250598	645479	302063	319014	602152	209905	320515	286385	291437	779497	159537
ENSG00000101577.9	215262	129903	1078045	900050	548263	351809	152921	109264	264937	265377	241964	266523	297676	285275	82498	198530	281820	380273	199259	292528	214781	749822	223829	140695	90858	266330	401909	437180	988491	209169	108106	147545	134036	59754	133724	273122	663218	428325	62464	242097	177678	105680	118875	410465	66195	169546	437911	231485	302746	228782	286385	427899	273570	424793	477166	304630	333715	186128	119523	206680	210825	445819	344736	159248	146585	355570	175029	475229	328447	241984	294918	1668966	200205	158893	198020	467089	83584	508752	113951	115261	267487	455548	435389	684594	317644	207246	90273	258724	481272	110206	637713	1102168	292001	250442	197215	162437	256907	479706	197139	427219
ENSG00000102003.10	17844	1073193	7133	32315	8698	12888	12350	8723	8586	9267	7816	10764	4915	5994	8224	97754	10065	924733	11118	379148	6409	30735	34724	176001	1320	360067	22598	4194	5497	7405	5709	12346	7450	11214	12240	10895	8827	9431	4722	13594	3937	280008	409415	6258	19831	4619	30572	9939	14900	15216	9505	14552	5811	31791	60346	44192	12012	15810	6356	664133	2352	9385	61860	7269	9277	10386	1896472	55190	6483	6328	16449	17736	2752	30175	13535	18689	6126	72196	7323	13768	11102	1966	7794	5807	11682	17805	10595	142373	45844	4006	7053	5736	54543	12064	84366	20682	3499	6745	15359	6845
ENSG00000113328.18	356057	751598	819650	369996	584034	856305	346519	341602	290433	453431	361416	889957	343433	497086	196937	695164	702369	556199	201883	644463	739446	732320	350429	316126	103903	402114	1348432	770909	780679	760127	184289	323825	362930	172835	287581	958529	341554	438017	292489	517161	194799	318663	691273	186394	127371	293106	677812	155677	588063	651359	688450	442850	715076	594360	552177	382187	477352	366786	348306	628131	301191	936855	282084	875413	260356	530648	897377	527114	500138	441063	757144	635073	463915	281467	393087	447406	323236	520342	313141	269218	653371	106620	284793	401852	565202	1208811	205786	193026	652374	548124	1078125	314087	259824	298502	317714	562246	572804	201685	378440	287003
ENSG00000151135.9	471947	290098	844997	436960	404526	793538	642070	347452	478443	347588	190416	439838	426357	669956	248534	337296	1248493	1068105	229299	277566	499440	626585	513003	389513	311107	699648	757658	722584	1578089	886317	270267	203964	231987	169040	387404	648910	548258	724143	236822	401004	275727	257448	237608	480244	107073	192179	504759	413273	446174	383819	202455	481965	480774	654707	1159935	399385	359006	301923	363979	524673	452773	902584	363543	416398	563401	757078	338931	842366	513302	560876	512411	744234	235174	324397	224049	644175	235833	390469	239834	310006	620793	262124	235203	577179	378956	587680	301509	186473	529581	556040	518770	737639	425242	380905	307694	473509	450192	576225	826274	319054
ENSG00000100075.9	397147	394670	254829	308509	426765	509625	565803	229960	337100	328776	204966	299557	158404	373809	261891	423462	307416	1004930	579006	420842	336850	373353	428628	620363	204728	402902	368182	296309	501154	271793	561130	338971	214769	271598	681507	121844	356962	375346	471689	329249	354089	418217	192065	506157	260122	76748	293967	206995	909360	309415	512616	302051	451395	500167	488819	384083	189878	375892	369238	245571	163880	1938415	922813	366714	275527	284788	1154374	599612	375865	398267	96394	395966	844957	223916	211422	326108	216679	683145	272289	628504	227888	73969	294993	333965	191710	292382	708560	395093	424136	394306	299201	258486	319392	157692	158811	565523	349399	241686	484336	241779
ENSG00000161057.11	552000	354526	1079088	416754	650007	527261	362816	474845	1196540	246137	930658	714457	346209	381142	350354	638161	684497	966920	622910	701395	539730	1705243	714821	617344	287161	467006	770688	1253177	463522	573394	662150	530416	309439	256782	955970	782871	674210	986598	235880	393592	409549	608868	557781	706461	255326	230869	960119	300357	437118	433923	587389	381362	431005	608085	614514	610951	520854	484169	558325	450040	359872	729573	665108	519049	886110	592704	393841	727461	458007	552901	446853	524414	427336	442953	220290	734634	260530	902427	246900	468719	505063	270758	819538	739034	470747	853929	457291	451915	845593	390578	581574	880104	354498	359235	512176	515204	661974	835739	580385	515806
ENSG00000125755.18	563321	793892	649793	227161	423156	715516	951395	383502	733285	460671	493712	496517	476338	299378	457151	753029	730083	405568	730669	300507	521053	1279326	379139	500708	208372	461267	638086	434585	235277	390847	613388	324726	423843	216424	542829	338183	628990	369238	510564	650215	621591	281080	721021	365035	168241	240896	406355	671355	1085256	896519	493837	459464	638408	526715	966679	869800	544577	519593	275838	523729	296594	697533	566077	493594	777158	447614	884619	1155556	521386	973822	199725	1019002	432284	597078	470554	367767	357128	574325	376040	781402	301814	435902	653587	566298	538602	616850	865385	395386	582826	319801	619616	665939	491050	446083	901804	914486	1598165	780946	588424	676093
ENSG00000219928.2	1006057	1101610	1052273	332190	781528	749835	1606906	410364	600426	341129	610273	556401	263491	305471	716335	407368	509030	480891	422562	283568	434713	478527	570653	254106	309417	295881	610112	581357	371729	887435	340517	395422	325450	241601	935556	491877	469534	435828	224030	429974	284333	392437	538211	516870	383974	177154	806969	125361	828355	588828	324860	377502	498849	411391	550416	700079	358208	804849	478260	326660	472842	937810	599342	620631	334498	313243	402837	688609	511695	326851	199215	260688	577551	193805	233441	718202	298700	561129	1044347	695355	451417	105323	509738	755047	404635	384904	580615	235345	682452	701886	480488	119086	622978	299369	446707	295457	888215	274231	619333	449862
ENSG00000099797.13	345524	932766	273071	228262	442220	291238	569070	393054	275608	352174	678914	1080404	268762	170749	344995	278618	640476	515428	394174	326702	402255	279231	495344	1044667	229903	430203	835910	261916	356165	762658	382421	282406	344877	219195	391789	526371	1499546	323917	151046	357867	380589	576091	885402	247843	297123	246806	586430	262555	507033	638713	356757	317925	477561	502008	515519	743157	514453	393170	793875	331349	273527	467027	912477	434518	327674	319577	892040	768684	287698	434769	209949	666763	239543	292282	272828	587811	397950	784946	371471	740352	331181	57965	234288	814942	252370	594200	714360	560338	630446	314849	453384	140763	279229	582565	963879	374804	651637	989938	516503	411570
ENSG00000104998.3	42534	40940	481008	87970	129447	76607	69087	166664	65580	105042	650157	193998	40866	10745	84248	53367	41103	40021	51637	53622	68768	1277839	53679	91651	16311	45961	27110	37044	28198	12725	90788	132482	78209	12652	295265	107606	871885	64943	48475	95422	49028	70138	18858	1709209	53715	31959	124081	23100	141998	122804	105725	108520	93885	38436	127381	150336	40959	158682	58468	41742	63100	79915	77971	336008	672971	64257	31695	11671	207256	30028	50698	26230	37884	58798	98516	63049	87491	130377	236728	52164	92742	50781	355611	223366	84266	56185	42601	62256	149571	44574	537525	33962	106115	38896	57479	17196	458271	127133	174851	522012
ENSG00000122679.8	73913	23969	187859	25008	171699	27815	112738	203583	86375	85920	58854	133556	67447	23988	53029	172439	92881	333239	89735	8329	106654	53317	332431	790272	16424	93490	113399	67090	33746	14019	37861	38145	426475	13971	137510	206255	89446	64523	4114	136971	43087	258002	2326022	49340	153722	29071	84474	30608	297706	172446	43177	95102	68085	76085	132252	153118	55935	256110	80372	14965	17190	30243	31155	107512	103706	82659	72642	35320	52859	83955	75359	216498	92143	25722	204495	61092	99624	116507	167411	147755	354636	1400	97301	59795	88138	271366	48053	44596	26950	69176	54268	39227	123748	105399	228709	19176	49798	79715	99306	67022
ENSG00000227063.5	473777	1168583	625002	171798	483891	637121	924621	205525	272857	304127	486504	514936	256688	282610	502087	491143	597874	395494	213860	399328	376673	336924	540017	188337	439693	301524	738417	726516	488279	282539	402828	269782	267247	289231	350496	825539	337440	241368	214522	333881	140152	366463	506739	377693	89520	413164	1977548	318849	644767	524958	229437	439903	544062	353838	391634	387979	526974	505479	505171	322532	326827	695703	367394	412966	161142	308382	368954	620870	407870	395237	71721	441419	924380	364948	198484	836240	414377	457687	655802	583405	440721	194522	259168	727420	421303	481542	478195	715036	620723	363846	523699	106287	346379	467228	322917	479911	776943	317869	550604	396499
ENSG00000129675.15	164636	307012	1237318	230570	1333582	162952	156666	99810	562212	317805	153727	426880	221109	95370	162007	221389	524082	153028	472898	159808	937599	529235	275196	241942	36604	118813	216791	129500	191545	613899	185351	80859	547956	78188	84714	577558	717822	240165	34188	305730	120148	78566	63783	92876	73269	204430	315480	135742	542710	164600	439057	270783	651463	378797	250485	318517	658510	189624	454714	249623	264221	314723	757154	293256	275633	260356	270325	612342	472960	121900	114109	57769	212767	151848	308407	151039	169079	204121	105118	89311	395707	196565	500651	527689	209241	551636	51940	320402	452534	120106	686231	318559	324381	42014	946926	49668	473861	455217	76813	113148
ENSG00000137177.19	504675	285038	399719	262072	743896	753896	233346	211208	315052	463261	388528	552948	551288	650058	109826	230964	1136844	788330	203760	153131	376165	215430	297646	191932	192980	221066	578429	197240	881778	265868	437803	134498	265929	35144	281301	570476	658860	517617	40229	502824	143245	178716	348803	270354	62230	236567	309471	966563	536498	525483	343141	528342	657030	1014579	420770	227136	735787	269145	306735	815643	328503	796999	423519	287971	220615	633424	211549	1054311	427504	1118042	689832	509858	163536	269561	383839	805876	167566	361360	198313	347566	479158	304117	309256	314246	518511	498279	135328	473714	622676	235092	659581	823176	324610	299050	604108	114036	471966	346378	372278	513286
ENSG00000140853.15	81719	43615	749369	96697	202119	282421	107063	82085	284520	74360	1212439	175036	115458	119141	115691	262087	182984	39429	344524	72764	418239	1451137	377662	215207	42576	108806	149480	199706	171660	46331	533143	141775	51140	112087	141257	43984	244751	258368	153654	268771	238799	190485	77378	174579	243335	38247	313207	247633	478647	190653	202761	165520	86335	173428	155043	248233	106928	207425	156168	127110	127459	298138	192234	375478	822955	164033	77829	183564	629990	106711	74155	73832	98468	69050	161441	384461	69817	385399	82679	72299	106089	135058	638588	343073	166199	95175	75520	386417	202369	93881	166244	1142351	783902	184664	257835	45972	647101	319854	149321	92220
ENSG00000127324.8	49679	0	6344	104611	8114	846	657	290	999	2415	1183	6448	55762	128818	192	4247	592	278	96	116658	9739	12228	1251	2762	3681	1605	357	1169	682	90	1590	548	74	1165	1541	3220	1066	50465	276	3882	10599	6372	196	1616	0	1085	3442	4661	1642	2262	77051	3994	683	100	86508	949	0	41326	940	298	100	88	23255	3125	291	116821	478	0	786	2035023	384	1415127	51295	1063	3320	300	5070	195	13518	184	4634	68686	3988	11526	395	2355	278	295	245	2750	392	5001	1763	0	692	100	579	1294	19369	40555
ENSG00000180357.9	392601	340342	533196	556275	514448	441409	191256	247659	173177	376066	376364	498342	725171	459632	144403	334717	790301	1539896	199568	521838	435204	621208	535368	229410	180401	271186	537129	641861	1120081	434009	229693	266531	286344	149258	122024	398927	557691	494542	80743	413292	189961	199132	198013	455564	68806	183236	319430	589765	320467	536873	354772	319897	1090197	489189	460082	145282	598498	201621	331398	544625	206385	841352	478428	396959	472715	499936	644912	1040191	503590	966275	226110	967622	279849	276946	288950	478071	208986	541699	95234	255737	436702	875317	259533	519894	495562	457205	622347	603890	443756	301195	479229	460264	201142	409104	334465	662215	279772	315834	509365	402215
ENSG00000206527.9	552902	430010	796776	314167	613769	1229730	301977	278340	834652	358043	606225	449000	397419	319627	101789	242933	542165	475790	324910	603043	586862	570724	498048	327688	209712	212663	521729	592180	486049	550187	637713	555515	337160	207787	379204	735547	582620	1321259	248645	396094	527870	247256	221549	471259	246668	311997	650639	577067	280840	333748	705205	491179	590244	849914	440673	518044	392582	334143	416943	527845	442378	984884	1268390	400606	787657	481027	246950	400545	309188	672947	479084	516008	802796	427872	229685	823832	178551	425338	163346	159737	539779	85236	440214	1065476	430169	481225	63309	273038	520773	347873	926089	957722	213617	366859	592534	439156	299790	528967	272241	612569
ENSG00000219200.11	577263	775684	768890	244263	372962	514886	609832	354838	693786	320657	469245	1076576	258983	247463	772345	669216	385120	1016314	654749	467368	538369	748757	610944	631360	167841	577993	1366876	397019	535230	1218790	484210	380992	267802	108120	1070252	540436	291829	473161	623815	445954	336566	611255	625256	403686	426503	259640	592838	218604	761568	508652	509675	364875	361836	308686	393919	853653	563468	505258	397705	330155	442343	406551	497226	376315	301335	374239	1546783	576568	498379	443731	191509	489153	355196	418473	327802	421433	507838	985352	791487	649435	385065	106554	556846	441777	493549	696405	595657	576502	711997	421432	678834	326088	394694	272147	564941	446929	545146	437738	752509	299511
ENSG00000136040.8	193914	226999	1485512	137274	265423	400330	163236	107747	123189	314245	287623	330000	157146	109713	61417	151791	371314	252869	115230	128090	404705	642426	243799	50337	176933	56086	322357	395553	218332	129782	232471	154466	201866	42442	74204	95647	475444	474639	6523	300730	129308	118286	63921	155295	95255	98583	680020	556612	295554	263532	98509	295533	294483	561936	232468	143242	202600	161623	107272	213805	465969	893792	241956	251564	328724	582978	47594	66519	975704	392486	385901	43823	212348	239254	103707	426516	138355	593200	82603	80247	432981	135138	367281	1095306	891038	177531	81486	314716	686743	515134	587058	268169	412412	98357	371130	89565	234537	443701	177956	134819
ENSG00000007541.16	422422	467983	124452	393220	640962	434046	1265446	402995	216048	418041	296865	343572	688486	170576	181577	480568	504209	781222	549246	408711	355721	176810	590531	348128	154315	778924	371177	135766	346147	333097	273831	184635	735115	216738	636885	378963	382555	280960	413058	386681	665868	300557	607634	314359	190151	298357	327536	336773	1261030	808497	320588	555611	478096	374890	721752	424757	596798	272048	588234	365811	120274	638408	356698	444525	264577	591271	853013	789653	469098	347388	203497	898552	133748	248655	400330	354479	476868	404981	372637	981669	298767	123538	134497	251200	361488	568260	1076585	226035	590373	278082	319370	165060	265458	769299	544220	322024	313037	125439	1074411	251433
ENSG00000149177.12	306578	69273	1247362	195906	301244	270842	79991	104787	197850	164717	321093	495064	281635	170915	103006	291253	756797	1652001	183290	634779	141123	754498	324961	115527	88712	79932	774712	180395	485370	374738	238838	284885	214262	60838	192429	283355	281708	252373	28216	417256	134515	105091	73021	238351	90232	131610	586156	219785	354296	448768	201066	380745	318434	439452	253303	186189	362523	165049	150195	123005	247566	823479	525340	214515	302554	365893	336493	374205	367585	227974	486014	71344	104403	336496	235666	243642	112962	318580	116020	236115	305198	175565	453643	540895	490034	865392	256697	371441	514112	96328	580805	428725	511092	170942	619938	115428	251692	484102	307082	215258
ENSG00000101441.4	9137	8625	2530	1519	243	19782	12295	2329	5801	23506	5744	31262	1596	4710	181	183	12640	3744	8535	2109	4626	1804	107129	26462	3595	32454	4829	459	43	4625	400	190	1343	1274	239	10559	24616	8317	0	11765	427	17880	0	399	20949	949	7980	11823	122365	130076	535	131083	4270	41069	10290	286	4551	526	5240	5415	25549	54199	8382	41086	2712	16982	14921	1060	13265	199962	2870	54845	505	1948	329918	300	878	19234	768	53793	32870	0	16241	263157	10669	33903	20174	387	27680	11792	2754	1964	2427005	4299	15681	6844	491	1089	50150	11918
ENSG00000166986.14	820506	573283	854352	692540	898374	1057464	534300	353748	696778	286857	950039	542996	424491	626843	405058	535560	593402	671464	630096	1104471	560883	1104156	478413	413987	208609	428054	781901	836983	977703	369175	668322	533442	329859	218528	784201	571474	668908	758124	447110	442491	737242	577437	347130	897459	310038	223979	1144871	720659	698768	650387	452563	530326	573018	602496	613741	918752	557571	417552	507011	574883	542561	811665	610057	391187	1162356	544043	612689	1152620	584577	562716	546076	661594	854763	409484	370532	991755	228409	939395	311079	463465	382450	493491	569832	985491	533095	638683	432425	865898	873834	444810	597611	452777	496810	416579	975298	766798	1286555	1227299	547953	975929
